ACEH,2.49,0.12,0.88
SUMATERA UTARA,33.25,4.93,32.05
SUMATERA BARAT,10.32,2.37,9.91
RIAU,7.77,5.41,10.34
JAMBI,1.44,0.81,2.08
SUMATERA SELATAN,2.41,3.23,4.70
BENGKULU,0.09,0.03,0.12
LAMPUNG,0.76,0.57,1.65
KEP. BANGKA BELITUNG,2.19,0.58,2.92
KEP. RIAU,230.52,30.30,375.36
DKI JAKARTA,267.78,283.01,414.99
JAWA BARAT,118.56,56.81,145.20
JAWA TENGAH,27.28,15.12,41.25
DI YOGYAKARTA,37.76,14.20,42.20
JAWA TIMUR,53.95,26.88,81.01
BANTEN,99.40,66.48,123.77
BALI,1236.90,97.83,1620.09
NUSA TENGGARA BARAT,40.62,7.57,11.04
NUSA TENGGARA TIMUR,11.10,6.10,32.23
KALIMANTAN BARAT,9.21,2.36,11.62
KALIMANTAN TENGAH,1.30,1.12,2.76
KALIMANTAN SELATAN,2.12,1.05,7.50
KALIMANTAN TIMUR,10.52,6.50,12.75
KALIMANTAN UTARA,1.38,0.43,2.91
SULAWESI UTARA,12.37,10.19,11.41
SULAWESI TENGAH,0.59,0.30,1.01
SULAWESI SELATAN,14.97,2.13,14.92
SULAWESI TENGGARA,0.31,0.34,1.90
GORONTALO,0.40,0.30,0.59
SULAWESI BARAT,0.03,0.01,0.11
MALUKU,1.09,0.81,2.86
MALUKU UTARA,0.14,0.13,0.18
PAPUA BARAT,4.63,0.97,3.26
PAPUA,3.89,0.15,2.08
,,,
,,,
,,,
,,,
