ACEH,2.49,195.25,265.00
SUMATERA UTARA,33.25,1937.91,2748.71
SUMATERA BARAT,10.32,1175.55,1469.14
RIAU,7.77,1341.38,1795.91
JAMBI,1.44,386.67,598.32
SUMATERA SELATAN,2.41,1502.83,1866.43
BENGKULU,0.09,197.24,231.62
LAMPUNG,0.76,642.80,779.99
KEP. BANGKA BELITUNG,2.19,312.46,453.96
KEP. RIAU,230.52,824.02,1232.07
DKI JAKARTA,267.78,5997.87,5722.37
JAWA BARAT,118.56,8504.51,12346.22
JAWA TENGAH,27.28,4525.92,6557.03
DI YOGYAKARTA,37.76,3132.16,4897.97
JAWA TIMUR,53.95,5007.04,7486.58
BANTEN,99.40,1785.86,2306.61
BALI,1236.90,1839.42,3895.74
NUSA TENGGARA BARAT,40.62,439.09,573.89
NUSA TENGGARA TIMUR,11.10,322.02,411.47
KALIMANTAN BARAT,9.21,783.98,1064.80
KALIMANTAN TENGAH,1.30,275.48,414.39
KALIMANTAN SELATAN,2.12,831.01,1126.70
KALIMANTAN TIMUR,10.52,1307.09,1735.68
KALIMANTAN UTARA,1.38,81.18,106.76
SULAWESI UTARA,12.37,446.00,655.10
SULAWESI TENGAH,0.59,114.01,169.36
SULAWESI SELATAN,14.97,1604.12,2301.62
SULAWESI TENGGARA,0.31,279.09,304.92
GORONTALO,0.40,95.60,96.93
SULAWESI BARAT,0.03,17.13,36.13
MALUKU,1.09,86.29,115.46
MALUKU UTARA,0.14,88.41,101.12
PAPUA BARAT,4.63,194.34,226.11
PAPUA,3.89,235.90,440.51
,,,
,,,
,,,
,,,
