end_month,last_oil_price,mid_USD_rate,oil_export,inflation
31/01/2020,51.56,13662,815.3,0.0268
28/02/2020,44.76,14234,805.2,0.0298
31/03/2020,20.48,16367,617.4,0.0296
30/04/2020,18.84,15157,562.1,0.0267
29/05/2020,35.49,14733,560.9,0.0219
30/06/2020,39.27,14302,567.4,0.0196
30/07/2020,40.27,14653,660.4,0.0154
31/08/2020,42.61,14554,599.6,0.0132
30/09/2020,40.22,14918,667.3,0.0142
27/10/2020,35.79,14690,614.5,0.0144
30/11/2020,45.34,14128,762.2,0.0159
29/12/2020,48.52,14169,1018.8,0.0168
29/01/2021,52.2,14084,883.8,0.0155
26/02/2021,61.5,14229,860.6,0.0138
31/03/2021,59.16,14572,951.5,0.0137
30/04/2021,63.58,14468,941.7,0.0142
31/05/2021,66.32,14310,940.6,0.0168
30/06/2020,73.47,14496,1239.3,0.0133
29/07/2021,73.95,14498,978.8,0.0152
31/08/2021,68.5,14374,1044.6,0.0159
30/09/2021,75.3,14307,934.8,0.016
29/10/2021,83.57,14199,1064.3,0.0166
30/11/2021,66.18,14340,1339.5,0.0175
30/12/2021,75.21,14265,1068,0.0187
28/01/2022,88.15,14385,903.5,0.0218
25/02/2022,95.72,14371,1029.6,0.026
31/03/2022,100.28,14349,1493.3,0.0264
30/04/2022,104.69,14418,1466.6,0.0347
30/05/2022,114.67,14544,1498.1,0.0355
30/06/2022,105.76,14848,1551.8,0.0435
29/07/2022,98.62,14958,1287.6,0.0494
31/08/2022,89.55,14875,1662.9,0.0469
30/09/2022,79.49,15247,1259.0,0.0595
31/10/2022,86.53,15542,1286.3,0.0571
24/11/2022,80.56,15700,1101.9,0.0542
29/12/2022,80.47,15703,1457.8,0.0551
31/01/2023,80.11,14979,1487.9,0.0528
28/02/2023,77.5,15240,1186.5,0.0547
30/03/2023,75.67,15026,1338.2,0.0497
27/04/2023,76.78,14751,1258.7,0.0433
30/05/2023,68.9,14969,1308.6,0.04
27/06/2023,70.64,15026,1259.7,0.0352
31/07/2023,81.8,15083,1226.8,0.038
31/08/2023,83.63,15239,1318.8,0.0327
29/09/2023,90.79,15526,1405.1,0.0228
31/10/2023,81.2,15916,1370.4,0.0256
29/11/2023,75.96,15450,1282.9,0.0286
29/12/2023,71.65,15414,0,0.0261
