Provinsi,total_konsumsi,total_konsumsi_1,total_konsumsi_2
ACEH,120.484,138.736,114.504
SUMATERA UTARA,186.212,209.664,167.284
SUMATERA BARAT,124.384,136.136,129.376
RIAU,122.772,108.68,103.584
JAMBI,86.008,99.06,87.932
SUMATERA SELATAN,172.484,185.068,182.624
BENGKULU,80.6,76.024,78.78
LAMPUNG,127.556,132.132,125.632
KEP. BANGKA BELITUNG,117.468,133.38,128.856
KEP. RIAU,69.68,74.152,53.664
DKI JAKARTA,260,171.34,159.9
JAWA BARAT,465.66,467.688,429
JAWA TENGAH,381.992,385.216,387.088
DI YOGYAKARTA,81.016,84.292,82.888
JAWA TIMUR,387.14,403.988,350.324
BANTEN,158.912,122.512,117.676
BALI,65.52,45.76,47.06
NUSA TENGGARA BARAT,119.6,128.388,100.152
NUSA TENGGARA TIMUR,63.648,70.72,60.58
KALIMANTAN BARAT,141.076,152.828,136.552
KALIMANTAN TENGAH,123.812,131.612,111.28
KALIMANTAN SELATAN,156.208,157.196,139.568
KALIMANTAN TIMUR,138.164,144.872,116.688
KALIMANTAN UTARA,58.604,54.964,41.392
SULAWESI UTARA,97.188,94.9,98.644
SULAWESI TENGAH,85.124,83.252,73.268
SULAWESI SELATAN,170.3,181.116,155.48
SULAWESI TENGGARA,122.408,122.304,112.216
GORONTALO,30.212,34.892,28.34
SULAWESI BARAT,27.612,26.936,26.364
MALUKU,63.18,65.052,51.324
MALUKU UTARA,56.368,56.732,46.592
PAPUA BARAT,96.252,97.552,84.864
PAPUA,195.104,186.004,166.556
